Var1,CW,HL,SX,YZ,HZ,BH,ZM,HG,BX,TT,ES,TG,FT,YM,HH,CL,HR,ZL,FM,HU,FY,TY
CW,0,0,2,19,8,12,13,4,7,11,21,10,16,19,0,6,12,6,21,7,4,2
HL,3,0,0,11,10,14,7,0,4,7,16,16,4,15,0,3,4,2,7,2,7,0
SX,0,0,0,8,2,2,1,1,10,9,18,8,5,12,0,3,2,3,13,3,1,0
YZ,1,0,0,0,0,0,3,0,0,0,4,0,4,0,0,3,1,0,6,6,2,0
HZ,0,0,0,5,0,0,2,1,1,4,2,4,4,0,0,4,6,2,0,4,5,4
BH,0,0,0,8,0,0,0,0,4,8,6,7,1,6,0,2,0,1,5,1,1,0
ZM,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4,4,0,4,4,1
HG,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1,4,10
BX,0,0,0,2,0,0,0,0,0,0,4,2,0,8,0,4,2,0,1,5,1,1
TT,0,0,0,5,0,0,0,0,0,0,11,0,2,2,0,5,3,1,5,2,2,0
ES,0,0,0,5,1,0,1,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0
TG,0,0,0,2,0,0,0,0,0,4,5,0,3,3,0,1,0,1,1,1,3,0
FT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3,7,0
YM,0,0,0,3,0,0,0,0,0,0,8,1,3,0,0,5,1,0,2,0,4,0
HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,4,2,7,0,1,1
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1
ZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
FM,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,2,0
HU,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,3,2
FY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
